table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;opomba;novo
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--SA--1--M;Desezonirani podatki -- Gradnja stavb;indeks;M;1;3;r;;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--SA--2--M;Desezonirani podatki -- Gradnja inženirskih objektov;indeks;M;1;3;r;;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--SA--3--M;Desezonirani podatki -- Specializirana gradbena dela;indeks;M;1;3;r;;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--SA--CC--M;Desezonirani podatki -- Gradbeništvo - SKUPAJ;indeks;M;1;3;r;;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--SA--1--M;Desezonirani podatki -- Gradnja stavb;indeks;M;2;3;r;;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--SA--11--M;Desezonirani podatki -- Stanovanjske stavbe;indeks;M;2;3;r;;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--SA--12--M;Desezonirani podatki -- Nestanovanjske stavbe;indeks;M;2;3;r;;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--1--M;Originalni podatki -- Gradnja stavb;indeks;M;3;3;r;y;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--2--M;Originalni podatki -- Gradnja inženirskih objektov;indeks;M;3;3;r;y;;;;
1957406S;Realni indeksi vrednosti opravljenih gradbenih del v gradbeništvu (mesec / povprečje leta 2015) (SKD 2008), originalni podatki, desezonirani podatki in podatki z izločenimi vplivi koledarja, Slovenija, mesečno;SURS--1957406S--O--3--M;Originalni podatki -- Specializirana gradbena dela;indeks;M;3;3;r;y;;;;
