table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;sub_chart;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--_T--GY--B1G--A;Skupaj dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;1;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--C--GOY--B1G--A;C Predelovalne dejavnosti -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;2;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--F--GOY--B1G--A;F Gradbeništvo (41-43) -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;2;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--O--GOY--B1G--A;O Dejavnosti uprave in obrambe, obvezna socialna varnost (84) -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;3;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--P--GOY--B1G--A;P Izobraževanje (85) -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;3;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--Q--GOY--B1G--A;Q Zdravstvo in socialno varstvo -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;3;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--G--GOY--B1G--A;G Trgovina, vzdrževanje in popravila vozil -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--H--GOY--B1G--A;H Promet in skladiščenje -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--I--GOY--B1G--A;I Gostinstvo (55-56) -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--J--GOY--B1G--A;J Informacijske in komunikacijske dejavnosti -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--K--GOY--B1G--A;K Finančne in zavarovalniške dejavnosti -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--L--GOY--B1G--A;L Poslovanje z nepremičninami (68) -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--M--GOY--B1G--A;M Strokovne, znanstvene in tehnične dejavnosti -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--N--GOY--B1G--A;N Druge raznovrstne poslovne dejavnosti -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--R--GOY--B1G--A;R Kulturne, razvedrilne in rekreacijske dejavnosti -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--S--GOY--B1G--A;S Druge dejavnosti -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--T--GOY--B1G--A;T Dejavnost gospodinjstev z zaposlenim osebjem (97-98) -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;4;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--A--GOY--B1G--A;A Kmetijstvo in lov, gozdarstvo, ribištvo -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;5;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--B--GOY--B1G--A;B Rudarstvo (05-09) -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;5;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--D--GOY--B1G--A;D Oskrba z električno energijo, plinom in paro (35) -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;5;;;;;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--E--GOY--B1G--A;E Oskrba z vodo, ravnanje z odplakami in skrb za okolje -- Prispevek k letni rasti obsega BDP (odstotne točke) -- Dodana vrednost;odstotne točke;A;5;;;;;;;
