table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--_T--G4--N--Q;Dodana vrednost, skupaj -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Dodana vrednost;;;;;;linija;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--C--GO4--N--Q;..od tega: C Predelovalne dejavnosti -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;2;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Predelovalne dejavnosti ©;;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--F--GO4--N--Q;F Gradbeništvo -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;2;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Gradbeništvo (F);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--OTQ--GO4--N--Q;OPQ Uprava in obramba, izobraževanje, zdravstvo in socialno varstvo -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;2;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Javne storitve (O-Q);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--GTI--GO4--N--Q;GHI Trgovina in popravila vozil, promet in skladiščenje, gostinstvo -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;3;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Tržne storitve (G-N, R, S, T);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--J--GO4--N--Q;J Informacijske in komunikacijske dejavnosti -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;3;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Tržne storitve (G-N, R, S, T);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--K--GO4--N--Q;K Finančne in zavarovalniške dejavnosti -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;3;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Tržne storitve (G-N, R, S, T);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--L--GO4--N--Q;L Poslovanje z nepremičninami -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;3;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Tržne storitve (G-N, R, S, T);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--M_N--GO4--N--Q;MN Strokovne, znanstvene, tehnične dejavnosti in druge raznovrstne poslovne dejavnosti -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;3;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Tržne storitve (G-N, R, S, T);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--RTU--GO4--N--Q;RST Druge storitvene dejavnosti -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;3;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Tržne storitve (G-N, R, S, T);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--A--GO4--N--Q;A Kmetijstvo, lov, gozdarstvo, ribištvo -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;4;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Ostalo (A, B, D, E);;;;;;stacked column;treba je sešteti A+BDCE in nato odšteti C;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--BTE--GO4--N--Q;BCDE Rudarstvo, predelovalne dejavnosti, oskrba z elektriko in vodo, ravnanje z odplakami, saniranje okolja -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;4;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Ostalo (A, B, D, E);;;;;;stacked column;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--C--GO4--N--Q;..od tega: C Predelovalne dejavnosti -- Prispevek k rasti obsega BDP glede na enako četrtletje predhodnega leta (odstotne točke) -- Originalni podatki;odstotne točke;Q;4;Prispevki rasti dodane vrednosti posameznih dejavnosti k rasti BDP;;;Ostalo (A, B, D, E);;;;;;stacked column;;
