table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--_T--G4--N--Q;Dodana vrednost, skupaj -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;4;;Dodana vrednost;;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--A--G4--N--Q;A Kmetijstvo, lov, gozdarstvo, ribištvo -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;3;Ostalo;Kmetijstvo (A);;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--BTE--G4--N--Q;BCDE Rudarstvo, predelovalne dejavnosti, oskrba z elektriko in vodo, ravnanje z odplakami, saniranje okolja -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;1;Industrija;Industrija (BCDE);;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--C--G4--N--Q;..od tega: C Predelovalne dejavnosti -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;1;Industrija;Predelovalne dejavnosti ©;;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--F--G4--N--Q;F Gradbeništvo -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;3;Ostalo;Gradbeništvo (F);;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--GTI--G4--N--Q;GHI Trgovina in popravila vozil, promet in skladiščenje, gostinstvo -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;Trgovina, promet, gostinstvo (GHI);;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--J--G4--N--Q;J Informacijske in komunikacijske dejavnosti -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;IKT dejavnosti (J);;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--K--G4--N--Q;K Finančne in zavarovalniške dejavnosti -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;Finančne in zavaroval. Dej. (K);;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--L--G4--N--Q;L Poslovanje z nepremičninami -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;Poslovanje z neprem. (L);;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--M_N--G4--N--Q;MN Strokovne, znanstvene, tehnične dejavnosti in druge raznovrstne poslovne dejavnosti -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;MN dejavnosti;;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--OTQ--G4--N--Q;OPQ Uprava in obramba, izobraževanje, zdravstvo in socialno varstvo -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;3;Ostalo;Javne storitve (OPQ);;;;;;;
0300220S;Dodana vrednost po dejavnostih in BDP (SKD 2008), Slovenija, četrtletno;SURS--0300220S--RTU--G4--N--Q;RST Druge storitvene dejavnosti -- Stopnja rasti obsega glede na enako četrtletje predhodnega leta (%) -- Originalni podatki;%;Q;1;Medletna rast dodane vrednosti in posameznih dejavnosti;3;Ostalo;Druge storitve (RST);;;;;;;
