table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes;;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--_T--GY--B1G--A;Skupaj dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;0;;Dodana vrednost;;;;;;linija;Skupaj dejavnosti;;DV naj bo v vseh podgrafih
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--B--GY--B1G--A;B Rudarstvo (05-09) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;1;Industrija;B Rudarstvo;;;;;;linija;B Rudarstvo ;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--C--GY--B1G--A;C Predelovalne dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;1;Industrija;C Predelovalne dejavnosti;;;;;;linija;C Predelovalne dejavnosti;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--D--GY--B1G--A;D Oskrba z električno energijo, plinom in paro (35) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;1;Industrija;D Oskrba z elektriko, plinom in paro;;;;;;linija;D Oskrba z električno energijo, plinom in paro ;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--E--GY--B1G--A;E Oskrba z vodo, ravnanje z odplakami in skrb za okolje -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;1;Industrija;E Oskrba z vodo;;;;;;linija;E Oskrba z vodo, ravnanje z odplakami in skrb za okolje;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--G--GY--B1G--A;G Trgovina, vzdrževanje in popravila vozil -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;G Trgovina, vzdrževanje in popravila vozil;;;;;;linija;G Trgovina, vzdrževanje in popravila vozil;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--H--GY--B1G--A;H Promet in skladiščenje -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;H Promet in skladiščenje;;;;;;linija;H Promet in skladiščenje;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--I--GY--B1G--A;I Gostinstvo (55-56) -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;I Gostinstvo;;;;;;linija;I Gostinstvo ;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--J--GY--B1G--A;J Informacijske in komunikacijske dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;J IKT dejavnosti;;;;;;linija;J Informacijske in komunikacijske dejavnosti;;
0301915S;Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno;SURS--0301915S--K--GY--B1G--A;K Finančne in zavarovalniške dejavnosti -- Letna sprememba obsega (%) -- Dodana vrednost;%;A;9;Rast dodane vrednosti in posameznih dejavnosti;2;Tržne storitve;K Finančne in zavarovalniške dejavnosti;;;;;;linija;K Finančne in zavarovalniške dejavnosti;;
