table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--G--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- G Trgovina;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;1;Realni prihodek v trgovini;Trgovina skupaj;3;r;;;;stolpec
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--45--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 45 Trgovina z motornimi vozili in popravila motornih vozil;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;1;;Trgovina z motornimi vozili;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--46--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 46 Posredništvo in trgovina na debelo, razen z motornimi vozili;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;1;;Trgovina na debelo;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47 Trgovina na drobno, razen z motornimi vozili;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;1;;Trgovina na drobno;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--45--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 45 Trgovina z motornimi vozili in popravila motornih vozil;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;2;Trgovina z motornimi vozili;Skupaj trgovina z motornimi vozili in njihovimi popravili;3;r;;;;stolpec
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--45.1+45.3+45.4--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 45.1+45.3+45.4 Motorna vozila, motorna kolesa, rezervni deli, oprema;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;2;;Motorna vozila, motorna kolesa, rezervni deli, oprema;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--45.2--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 45.2 Vzdrževanje in popravila motornih vozil;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;2;;Vzdrževanje in popravila motornih vozil;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47 Trgovina na drobno, razen z motornimi vozili;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;3;Trgovina na drobno;Skupaj trgovina na drobno;3;r;;;;stolpec
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47 brez 47.3--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47 brez 47.3 Trgovina na drobno, brez motornih goriv;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;3;;Skupaj trgovina na drobno, brez motornih goriv;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.11+47.2--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.11+47.2 Trgovina z živili, pijačami in tobačnimi izdelki;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;3;;Trgovina z živili, pijačami in tobačnimi izdelki;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.3--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.3 Motorna goriva v specializiranih prodajalnah;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;3;;Motorna goriva v specializiranih prodajalnah;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.19+47.4+47.5+47.6+47.7+47.8+47.9--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.19+47.4+47.5+47.6+47.7+47.8+47.9 Trgovina z neživili, brez motornih goriv;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;3;;Trgovina z neživili, brez motornih goriv;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.19+47.4+47.5+47.6+47.7+47.8+47.9--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.19+47.4+47.5+47.6+47.7+47.8+47.9 Trgovina z neživili, brez motornih goriv;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;Trgovina na drobno z neživili;Skupaj trgovina na drobno z neživili;3;r;;;;stolpec
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.19--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.19 Nespecializirane prodajalne, pretežno z neživili;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;;Nespecializirane prodajalne, pretežno z neživili;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.41+47.42+47.53+47.61+47.62+47.64+47.65+47.76+47.77+47.78--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.41+47.42+47.53+47.61+47.62+47.64+47.65+47.76+47.77+47.78 Računalniške, telekomunikacijske naprave, knjige, športna oprema, igrače ipd. v specializiranih prodajalnah;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;;Računalniške, telekomunikacijske naprave, knjige, športna oprema, igrače ipd. v specializiranih prodajalnah;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.43+47.52+47.54+47.59+47.63--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.43+47.52+47.54+47.59+47.63 Pohištvo, gospodinjske naprave, gradbeni material, avdio in video zapisi v specializiranih prodajalnah;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;; Pohištvo, gospodinjske naprave, gradbeni material, avdio in video zapisi v specializiranih prodajalnah;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.43+47.54+47.63--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.43+47.54+47.63 Trgovina z gospodinjskimi napravami, avdio in video zapisi v specializiranih prodajalnah;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;;Trgovina z gospodinjskimi napravami, avdio in video zapisi v specializiranih prodajalnah;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.51+47.71+47.72--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.51+47.71+47.72 Tekstil, oblačila, obutev in usnjeni izdelki v specializiranih prodajalnah;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;; Tekstil, oblačila, obutev in usnjeni izdelki v specializiranih prodajalnah;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.52+47.59--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.52+47.59 Trgovina s pohištvom, gradbenim materialom v specializiranih prodajalnah;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;;Trgovina s pohištvom, gradbenim materialom v specializiranih prodajalnah;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.73+47.74+47.75--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.73+47.74+47.75 Farmacevtski, medicinski, kozmetični in toaletni izdelki v specializiranih prodajalnah;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;;Farmacevtski, medicinski, kozmetični in toaletni izdelki v specializiranih prodajalnah;3;r;;;;
2001303S;Indeksi nominalnega in realnega prihodka v trgovini na drobno, na debelo in z motornimi vozili ter od popravil le-teh (mesec / povprečje leta 2015) po dejavnostih (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--2001303S--2--2--47.91--M;Realni indeks -- Podatki z izločenimi vplivi sezone in koledarja -- 47.91 Trgovina na drobno po pošti ali po internetu;indeks;M;4;Realni prihodek v trgovini, desezonirani podatki;4;;Trgovina na drobno po pošti ali po internetu;3;r;;;;
