table_code	table_name	series_code	series_name	unit_name	interval_id	chart_no	chart_title	sub_chart	sub_chart_title	legend_label	shape	rolling_average_periods	rolling_average_alignment	year_on_year	xmin	xmax	notes
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C--V--B1G--A	..26 Proizvodnja raèunalnikov, elektronskih, optiènih izdelkov -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		0									
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C10--V--B1G--A	..10 Proizvodnja živil -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3	Predelovalne dejavnosti - struktura dodane vrednosti	1	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Proiz. živil	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C11--V--B1G--A	..11 Proizvodnja pijaè -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		1	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Proiz. pijaè	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C13--V--B1G--A	..13 Proizvodnja tekstilij -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		1	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Proiz. tekstilij	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C14--V--B1G--A	..14 Proizvodnja oblaèil -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		1	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Proiz. oblaèil	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C15--V--B1G--A	..15 Proizvodnja usnja, usnjenih in sorodnih izdelkov -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		1	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Usnjarstvo	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C16--V--B1G--A	..16 Obdelava, predelava lesa, izdelkov iz lesa... -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		2	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Lesna ind.	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C17--V--B1G--A	..17 Proizvodnja papirja in izdelkov iz papirja -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		2	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Papirna ind.	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C18--V--B1G--A	..18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		2	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Tiskarstvo	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C31--V--B1G--A	..31 Proizvodnja pohištva -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		2	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Pohištvena ind.	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C32--V--B1G--A	..32 Druge raznovrstne predelovalne dejavnosti -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		2	Delež nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Dr. razno. pred. dej.	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C22--V--B1G--A	..22 Proizvodnja izdelkov iz gume in plastiènih mas -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		3	Delež srednje nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Gumarska ind.	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C23--V--B1G--A	..23 Proizvodnja nekovinskih mineralnih izdelkov -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		3	Delež srednje nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Proiz. nekovin. mineral. izd.	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C24--V--B1G--A	..24 Proizvodnja kovin -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		3	Delež srednje nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Proiz. kovin	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C25--V--B1G--A	..25 Proizvodnja kovinskih izdelkov, razen strojev in naprav -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		3	Delež srednje nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Proiz. kovin. izd.	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C33--V--B1G--A	..33 Popravila in montaža strojev in naprav -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		3	Delež srednje nizko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Popravila in montaža	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C20--V--B1G--A	..20 Proizvodnja kemikalij, kemiènih izdelkov -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		4	Delež srednje visoko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Kemièna ind.	stacked column						Delež v SURS--0301915S--C--V--B1G--A
0301915S	Proizvodna struktura BDP (proizvodnja, vmesna potrošnja in dodana vrednost po dejavnostih, SKD 2008), Slovenija, letno	SURS--0301915S--C27--V--B1G--A	..27 Proizvodnja elektriènih naprav -- Tekoèe cene (mio EUR) -- Dodana vrednost	mio eur	A	3		4	Delež srednje visoko tehnološko zahtevnih dejavnosti v dodani vrednosti C	Proiz. el. naprav	stacked column						Delež v SURS--0301915S--C--V--B1G--A
