table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--A[mig]--M;Originalni podatki -- A Proizvodi za vmesno porabo;indeks;M;8.jan;Rast proizvodnje v industriji, medletna;2;Rast industrijske proizvodnje po namenskih skupinah;A Proizvodi za vmesno porabo;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--AE[mig]--M;Originalni podatki -- AE Energenti;indeks;M;8.jan;;2;Rast industrijske proizvodnje po namenskih skupinah;AE Energenti;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--AI[mig]--M;Originalni podatki -- AI Surovine;indeks;M;8.jan;;2;Rast industrijske proizvodnje po namenskih skupinah;AI Surovine;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--B[mig]--M;Originalni podatki -- B Proizvodi za investicije;indeks;M;8.jan;;2;Rast industrijske proizvodnje po namenskih skupinah;B Proizvodi za investicije;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--B[skd]--M;Originalni podatki -- B RUDARSTVO;indeks;M;8.jan;;1;Rast industrijske proizvodnje;B RUDARSTVO;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--B+C+D[skd]--M;Originalni podatki -- B+C+D Industrija;indeks;M;8.jan;;1;Rast industrijske proizvodnje;B+C+D Industrija;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--C[mig]--M;Originalni podatki -- C Proizvodi za široko porabo;indeks;M;8.jan;;2;Rast industrijske proizvodnje po namenskih skupinah;C Proizvodi za široko porabo;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--C[skd]--M;Originalni podatki -- C PREDELOVALNE DEJAVNOSTI;indeks;M;8.jan;;1;Rast industrijske proizvodnje;C PREDELOVALNE DEJAVNOSTI;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--CD[mig]--M;Originalni podatki -- CD Trajni proizvodi za široko porabo;indeks;M;8.jan;;2;Rast industrijske proizvodnje po namenskih skupinah;CD Trajni proizvodi za široko porabo;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--CN[mig]--M;Originalni podatki -- CN Netrajni proizvodi za široko porabo;indeks;M;8.jan;;2;Rast industrijske proizvodnje po namenskih skupinah;CN Netrajni proizvodi za široko porabo;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
1701102S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701102S--orig--D[skd]--M;Originalni podatki -- D OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO;indeks;M;8.jan;;1;Rast industrijske proizvodnje;D OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO;;3;r;TRUE;;;ali lahko dodamo povprečno medletno rast v tekočem letu
