table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--A[mig]--M;Desezonirani podatki -- A Proizvodi za vmesno porabo;indeks;M;9;Indeks industrijske proizvodnje;2;Industrijska proizvodnja po namenskih skupinah;A Proizvodi za vmesno porabo;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--AE[mig]--M;Desezonirani podatki -- AE Energenti;indeks;M;9;;2;Industrijska proizvodnja po namenskih skupinah;AE Energenti;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--AI[mig]--M;Desezonirani podatki -- AI Surovine;indeks;M;9;;2;Industrijska proizvodnja po namenskih skupinah;AI Surovine;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--B[mig]--M;Desezonirani podatki -- B Proizvodi za investicije;indeks;M;9;;2;Industrijska proizvodnja po namenskih skupinah;B Proizvodi za investicije;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--B[skd]--M;Desezonirani podatki -- B RUDARSTVO;indeks;M;9;;1;Industrijska proizvodnja;B RUDARSTVO;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--B+C+D[skd]--M;Desezonirani podatki -- B+C+D Industrija;indeks;M;9;;1;Industrijska proizvodnja;B+C+D Industrija;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--C[mig]--M;Desezonirani podatki -- C Proizvodi za široko porabo;indeks;M;9;;2;Industrijska proizvodnja po namenskih skupinah;C Proizvodi za široko porabo;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--C[skd]--M;Desezonirani podatki -- C PREDELOVALNE DEJAVNOSTI;indeks;M;9;;1;Industrijska proizvodnja;C PREDELOVALNE DEJAVNOSTI;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--CD[mig]--M;Desezonirani podatki -- CD Trajni proizvodi za široko porabo;indeks;M;9;;2;Industrijska proizvodnja po namenskih skupinah;CD Trajni proizvodi za široko porabo;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--CN[mig]--M;Desezonirani podatki -- CN Netrajni proizvodi za široko porabo;indeks;M;9;;2;Industrijska proizvodnja po namenskih skupinah;CN Netrajni proizvodi za široko porabo;;3;r;;;;;
1701111S;Indeksi industrijske proizvodnje (mesec / povprečje leta 2015) po področju in namenski skupini (SKD 2008), originalni podatki in podatki, iz katerih so izločeni vplivi sezone in koledarja, Slovenija, mesečno;SURS--1701111S--sa--D[skd]--M;Desezonirani podatki -- D OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO;indeks;M;9;;1;Industrijska proizvodnja;D OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO;;3;r;;;;;
