table_code,table_name,series_code,series_name,unit_name,interval_id,chart_no,chart_title,sub_chart,sub_chart_title,legend_label,shape,rolling_average_periods,rolling_average_alignment,year_on_year,xmin,xmax,notes
0701054S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701054S--1--1--1--M,Javni sektor -- Bruto plača -- Plača za mesec[EUR],eur,M,1,Primerjava bruto plač po stari in novi metodologiji,,,Javni - stara,,,,,01/01/2015,,
0701054S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701054S--2--1--1--M,Zasebni sektor -- Bruto plača -- Plača za mesec[EUR],eur,M,1,,,,Zasebni - stara,,,,,,,
0701054S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701054S--TOT--1--1--M,Javni in zasebni sektor - SKUPAJ -- Bruto plača -- Plača za mesec[EUR],eur,M,1,,,,Skupaj - stara,,,,,,,
0701015S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701015S--1--1--1--M,Javni sektor -- Bruto plača -- Plača za mesec (EUR),eur,M,1,,,,Javni - nova,,,,,,,
0701015S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701015S--2--1--1--M,Zasebni sektor -- Bruto plača -- Plača za mesec (EUR),eur,M,1,,,,Zasebni - nova,,,,,,,
0701015S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701015S--TOT--1--1--M,Javni in zasebni sektor - SKUPAJ -- Bruto plača -- Plača za mesec (EUR),eur,M,1,,,,Skupaj - nova,,,,,,,
0701054S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701054S--1--1--23--M,Javni sektor -- Bruto plača -- [realni indeks] mesec / isti mesec prejšnjega leta,,M,2,,,,,,,,,01/01/2015,,
0701054S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701054S--2--1--23--M,Zasebni sektor -- Bruto plača -- [realni indeks] mesec / isti mesec prejšnjega leta,,M,2,,,,,,,,,,,
0701054S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701054S--TOT--1--23--M,Javni in zasebni sektor - SKUPAJ -- Bruto plača -- [realni indeks] mesec / isti mesec prejšnjega leta,,M,2,,,,,,,,,,,
0701015S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701015S--1--1--23--M,Javni sektor -- Bruto plača -- (realni indeks) mesec / isti mesec prejšnjega leta,,M,2,,,,,,,,,,,
0701015S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701015S--2--1--23--M,Zasebni sektor -- Bruto plača -- (realni indeks) mesec / isti mesec prejšnjega leta,,M,2,,,,,,,,,,,
0701015S,"Povprečne mesečne bruto in neto plače pri pravnih osebah javnega in zasebnega sektorja, Slovenija, mesečno",SURS--0701015S--TOT--1--23--M,Javni in zasebni sektor - SKUPAJ -- Bruto plača -- (realni indeks) mesec / isti mesec prejšnjega leta,,M,2,,,,,,,,,,,
